date,AAPL,ABBV,ABT,AMGN,AMZN,AVGO
2010-01-04,214.01,,54.46,57.7153,133.9,18.86
2010-01-05,214.38,,54.02,57.22,134.69,19.0
2010-01-06,210.97,,54.32,56.79,132.25,19.15
2010-01-07,210.58,,54.77,56.27,130.0,19.03
2010-01-08,211.98,,55.05,56.77,133.52,19.17
2010-01-11,210.11,,55.33,57.02,130.308,19.29
2010-01-12,207.72,,55.17,56.03,127.35,19.0
2010-01-13,210.65,,55.29,56.53,129.11,18.42
2010-01-14,209.43,,55.35,56.16,127.35,18.43
2010-01-15,205.93,,55.49,56.25,127.14,18.24
2010-01-19,215.04,,56.2,57.55,127.61,17.81
2010-01-20,211.725,,56.24,57.2,125.78,17.96
2010-01-21,208.072,,55.56,56.63,126.62,17.985
2010-01-22,197.75,,54.51,56.6,121.43,17.56
2010-01-25,203.075,,54.7,55.71,120.31,17.65
2010-01-26,205.94,,54.48,56.58,119.48,17.76
2010-01-27,207.884,,53.9,57.74,122.75,17.41
2010-01-28,199.29,,53.95,58.08,126.03,17.72
2010-01-29,192.063,,52.94,58.48,125.41,17.38
2010-02-01,194.73,,53.34,58.72,118.87,17.5
2010-02-02,195.86,,54.44,59.23,118.12,17.7
2010-02-03,199.23,,54.65,59.07,119.1,17.62
2010-02-04,192.05,,53.82,57.53,115.94,17.22
2010-02-05,195.46,,53.97,57.68,117.39,17.2
2010-02-08,194.12,,53.35,57.46,116.83,17.01
2010-02-09,196.19,,53.35,57.21,118.03,16.99
2010-02-10,195.116,,53.26,56.84,117.36,16.8
2010-02-11,198.67,,53.54,56.501,120.09,17.13
2010-02-12,200.38,,53.93,56.48,119.66,17.36
2010-02-16,203.4,,54.59,56.99,117.53,17.48
2010-02-17,202.55,,54.75,57.2,116.31,17.41
2010-02-18,202.928,,54.97,57.27,118.08,17.45
2010-02-19,201.67,,54.38,57.38,117.52,17.53
2010-02-22,200.416,,54.4,57.1,118.01,17.35
2010-02-23,197.059,,53.97,56.38,117.24,17.38
2010-02-24,200.656,,54.33,56.74,119.72,17.74
2010-02-25,202.0,,54.12,56.25,118.2,18.09
2010-02-26,204.62,,54.28,56.61,118.4,18.15
2010-03-01,208.99,,54.29,56.9,124.54,18.3
2010-03-02,208.85,,54.58,56.87,125.53,18.72
2010-03-03,209.33,,54.08,56.9,125.89,18.91
2010-03-04,210.71,,54.08,56.77,128.53,19.06
2010-03-05,218.95,,54.32,57.24,128.91,19.36
2010-03-08,219.08,,54.42,57.61,130.11,19.31
2010-03-09,223.02,,54.8,57.76,128.82,19.35
2010-03-10,224.84,,55.03,57.78,130.51,19.74
2010-03-11,225.5,,55.54,57.49,133.58,19.86
2010-03-12,226.6,,54.52,57.43,131.82,19.65
2010-03-15,223.84,,54.8,56.89,131.13,19.42
2010-03-16,224.45,,54.68,57.42,131.79,19.5
2010-03-17,224.12,,54.5,57.43,131.34,19.89
2010-03-18,224.65,,53.77,58.31,132.76,19.98
2010-03-19,222.2499,,53.46,60.0,130.35,20.11
2010-03-22,224.75,,53.87,60.09,130.47,19.94
2010-03-23,228.36,,54.34,60.06,129.26,20.22
2010-03-24,229.37,,53.87,59.07,128.04,19.62
2010-03-25,226.65,,53.52,59.26,134.73,19.65
2010-03-26,230.9,,52.9,59.41,135.06,19.91
2010-03-29,232.39,,53.12,59.91,135.12,20.22
2010-03-30,235.845,,52.51,60.09,136.579,20.38
2010-03-31,235.0,,52.68,59.8375,135.77,20.5625
2010-04-01,235.97,,52.96,60.8,131.81,20.5
2010-04-05,238.49,,52.93,60.42,131.49,20.26
2010-04-06,239.54,,52.84,60.29,135.56,20.68
2010-04-07,240.6,,52.5,60.35,134.87,20.48
2010-04-08,239.95,,52.28,60.52,140.96,20.1
2010-04-09,241.79,,52.73,60.9,140.06,20.01
2010-04-12,242.29,,52.67,60.37,141.2,20.02
2010-04-13,242.43,,52.28,60.68,140.16,20.15
2010-04-14,245.69,,52.31,61.14,144.28,21.55
2010-04-15,248.92,,52.36,60.64,145.82,21.96
2010-04-16,247.4,,52.26,60.72,142.171,21.88
2010-04-19,247.07,,52.91,61.07,142.43,21.9
2010-04-20,244.59,,53.06,60.18,144.2,22.37
2010-04-21,259.22,,51.78,58.71,146.43,21.84
2010-04-22,266.4695,,51.12,58.16,150.09,21.53
2010-04-23,270.83,,51.2,58.88,143.63,21.49
2010-04-26,269.5,,50.37,58.43,147.11,21.79
2010-04-27,262.04,,49.77,57.84,142.02,21.0
2010-04-28,261.6,,50.27,58.18,139.35,21.01
2010-04-29,268.64,,50.75,58.59,141.73,21.4
2010-04-30,261.09,,51.16,57.31,137.1,20.51
2010-05-03,266.35,,50.87,57.59,137.49,21.12
2010-05-04,258.68,,50.19,56.83,129.83,20.05
2010-05-05,255.985,,50.15,56.6,130.93,19.59
2010-05-06,246.25,,49.0,54.75,128.71,19.2
2010-05-07,235.86,,48.72,54.46,124.98,19.29
2010-05-10,253.99,,49.69,55.58,131.29,20.74
2010-05-11,256.52,,49.4,55.93,130.46,20.66
2010-05-12,262.09,,49.15,56.6,133.87,20.72
2010-05-13,258.36,,48.61,55.88,131.47,20.46
2010-05-14,253.82,,48.5,54.69,128.533,20.23
2010-05-17,254.22,,48.43,54.81,128.91,20.52
2010-05-18,252.36,,48.05,54.67,126.28,20.08
2010-05-19,248.34,,47.94,55.26,124.59,20.02
2010-05-20,237.76,,46.48,52.94,119.71,20.1
2010-05-21,242.32,,46.94,52.44,122.72,19.81
2010-05-24,246.76,,47.56,52.66,122.12,19.39
2010-05-25,245.22,,47.23,52.55,124.86,19.23
2010-05-26,244.109,,47.17,50.36,123.21,20.02
2010-05-27,253.35,,47.87,51.43,126.7,21.34
2010-05-28,256.88,,47.56,51.78,125.46,20.65
2010-06-01,260.83,,46.94,50.76,123.24,20.39
2010-06-02,263.95,,47.48,56.09,126.31,21.11
2010-06-03,263.12,,47.73,55.64,128.76,21.66
2010-06-04,255.965,,46.53,54.34,122.77,20.81
2010-06-07,250.94,,46.23,53.51,122.01,20.77
2010-06-08,249.33,,46.31,53.82,118.835,21.09
2010-06-09,243.2,,45.86,53.15,117.91,21.07
2010-06-10,250.51,,47.2,54.01,123.21,21.8
2010-06-11,253.51,,47.2,54.1,123.03,21.93
2010-06-14,254.28,,47.33,54.07,123.83,21.51
2010-06-15,259.69,,48.17,55.12,126.84,22.25
2010-06-16,267.25,,48.79,55.22,126.9,22.88
2010-06-17,271.87,,48.63,55.44,125.89,23.35
2010-06-18,274.074,,48.77,55.2,125.83,23.04
2010-06-21,270.17,,48.3,56.52,122.55,22.99
2010-06-22,273.85,,47.99,56.12,122.307,22.26
2010-06-23,270.97,,47.56,56.2,121.45,22.54
2010-06-24,269.0,,47.46,56.15,118.33,21.24
2010-06-25,266.7,,47.19,56.26,121.0,21.47
2010-06-28,268.3,,47.18,55.41,117.8,21.75
2010-06-29,256.17,,46.65,54.12,108.61,20.97
2010-06-30,251.53,,46.78,52.6,109.26,21.06
2010-07-01,248.48,,46.46,52.02,110.96,21.41
2010-07-02,246.94,,46.46,51.7,109.14,21.57
2010-07-06,248.63,,46.69,51.3,110.06,20.87
2010-07-07,258.665,,47.71,51.395,113.43,21.67
2010-07-08,258.09,,48.1,52.23,116.22,21.79
2010-07-09,259.62,,48.03,52.56,117.26,22.01
2010-07-12,257.285,,47.82,52.44,119.51,22.1
2010-07-13,251.798,,47.67,52.76,123.65,22.48
2010-07-14,252.727,,47.85,52.62,123.3,22.29
2010-07-15,251.45,,48.02,52.92,122.06,22.91
2010-07-16,249.9,,47.07,52.17,118.49,21.99
2010-07-19,245.58,,47.41,53.596,119.94,22.27
2010-07-20,251.89,,47.47,53.2,120.1,22.0
2010-07-21,254.24,,48.68,52.25,117.43,21.77
2010-07-22,259.024,,49.01,53.31,120.07,22.85
2010-07-23,259.94,,48.93,52.75,118.87,22.88
2010-07-26,259.28,,49.24,53.67,118.4,22.8
2010-07-27,264.08,,49.27,54.51,117.13,22.42
2010-07-28,260.96,,49.22,53.76,117.13,21.8
2010-07-29,258.11,,48.98,53.37,116.86,21.77
2010-07-30,257.25,,49.08,54.53,117.89,21.76
2010-08-02,261.85,,49.83,54.87,120.07,21.83
2010-08-03,261.93,,50.0,54.71,122.42,21.6
2010-08-04,262.98,,50.18,55.76,127.58,22.34
2010-08-05,261.7,,49.98,55.32,127.83,22.74
2010-08-06,260.091,,50.57,55.94,128.32,22.59
2010-08-09,261.75,,50.88,55.66,128.83,22.9
2010-08-10,259.41,,51.47,55.72,130.0,22.3
2010-08-11,250.19,,50.39,53.69,125.89,20.23
2010-08-12,251.79,,50.39,54.75,126.56,20.41
2010-08-13,249.1,,50.06,55.02,124.69,19.99
2010-08-16,247.64,,50.34,54.08,126.07,20.27
2010-08-17,251.97,,50.69,53.955,128.86,20.37
2010-08-18,253.07,,50.23,54.14,129.65,20.75
2010-08-19,249.88,,49.32,52.72,127.57,20.51
2010-08-20,249.64,,49.34,52.34,127.76,20.43
2010-08-23,245.8,,49.78,51.95,126.6,20.4
2010-08-24,239.93,,49.48,51.06,124.53,20.24
2010-08-25,242.89,,49.82,51.84,126.85,20.29
2010-08-26,240.28,,49.5,50.93,124.86,20.6
2010-08-27,241.62,,49.84,52.08,126.64,20.31
2010-08-30,242.5,,49.49,51.63,123.79,20.0
2010-08-31,243.1,,49.34,51.04,124.83,20.15
2010-09-01,250.33,,50.27,52.59,132.49,21.0
2010-09-02,252.17,,50.61,52.51,135.21,21.05
2010-09-03,258.77,,50.74,52.91,138.79,20.98
2010-09-07,257.81,,50.49,52.51,137.22,20.58
2010-09-08,262.92,,50.45,52.94,139.14,20.08
2010-09-09,263.07,,51.09,53.79,140.38,19.67
2010-09-10,263.41,,51.54,54.35,142.44,18.65
2010-09-13,267.04,,51.45,54.4,145.07,18.95
2010-09-14,268.06,,51.41,54.515,145.75,19.9
2010-09-15,270.22,,51.66,55.3,145.45,19.11
2010-09-16,276.57,,51.61,55.1,148.13,19.25
2010-09-17,275.37,,51.64,55.22,148.325,20.04
2010-09-20,283.23,,52.26,55.9401,151.3048,20.63
2010-09-21,283.77,,52.15,55.75,150.73,20.77
2010-09-22,287.75,,51.99,56.27,151.83,20.76
2010-09-23,288.92,,51.6,55.72,152.85,21.33
2010-09-24,292.32,,51.94,56.32,160.73,21.58
2010-09-27,291.164,,52.1,55.69,159.37,21.95
2010-09-28,286.86,,52.38,56.0,159.7,22.3
2010-09-29,287.37,,52.49,54.94,158.99,22.33
2010-09-30,283.75,,52.24,55.11,157.06,22.51
2010-10-01,282.52,,52.58,55.51,153.71,22.63
2010-10-04,278.64,,52.51,55.05,155.39,22.31
2010-10-05,288.94,,53.08,56.12,160.87,22.45
2010-10-06,289.19,,52.98,55.83,155.4,22.28
2010-10-07,289.22,,52.58,55.96,156.27,22.88
2010-10-08,294.07,,52.81,56.39,155.55,22.2
2010-10-11,295.36,,52.81,56.1,153.03,22.34
2010-10-12,298.54,,53.51,55.94,156.48,22.02
2010-10-13,300.14,,53.18,55.49,155.17,22.0
2010-10-14,302.31,,53.21,54.86,155.53,22.42
2010-10-15,314.74,,53.17,56.71,164.64,22.69
2010-10-18,318.0,,53.67,57.96,163.56,22.74
2010-10-19,309.49,,52.87,57.33,158.67,22.39
2010-10-20,310.53,,52.42,57.73,158.67,22.1
2010-10-21,309.52,,52.84,57.62,164.97,21.95
2010-10-22,307.47,,52.56,57.55,169.13,22.4775
2010-10-25,308.84,,52.51,57.95,169.0,22.86
2010-10-26,308.05,,52.69,57.26,169.95,23.42
2010-10-27,307.83,,51.64,57.03,167.51,23.7
2010-10-28,305.24,,51.75,57.27,166.84,23.43
2010-10-29,300.98,,51.32,57.19,165.23,24.68
2010-11-01,304.18,,50.6,57.43,162.58,23.83
2010-11-02,309.36,,50.88,57.34,164.61,24.08
2010-11-03,312.8,,51.04,57.3,168.47,24.68
2010-11-04,318.27,,50.88,56.01,168.93,25.29
2010-11-05,317.13,,50.92,55.42,170.77,25.37
2010-11-08,318.62,,50.45,55.29,171.99,25.25
2010-11-09,316.08,,50.05,54.93,170.27,24.83
2010-11-10,318.03,,50.17,54.7,173.33,24.61
2010-11-11,316.655,,49.78,54.62,170.37,24.85
2010-11-12,308.03,,48.58,54.47,165.68,25.72
2010-11-15,307.035,,48.16,54.51,158.9,25.17
2010-11-16,301.59,,47.66,54.03,157.78,24.9
2010-11-17,300.5,,47.8,53.87,158.35,24.6
2010-11-18,308.43,,47.62,55.14,164.17,25.07
2010-11-19,306.73,,47.4,55.0,164.82,25.27
2010-11-22,313.36,,47.25,54.74,170.39,26.01
2010-11-23,308.73,,46.95,53.6,168.2,25.98
2010-11-24,314.795,,46.96,53.83,177.25,26.3
2010-11-26,315.0,,46.8,53.56,177.2,27.01
2010-11-29,316.87,,46.49,53.32,179.49,26.92
2010-11-30,311.15,,46.51,52.69,175.4,26.11
2010-12-01,316.4,,47.01,53.52,176.55,26.86
2010-12-02,318.15,,47.61,53.84,176.53,28.41
2010-12-03,317.44,,47.37,53.73,175.68,26.55
2010-12-06,320.15,,46.92,53.4,178.05,26.85
2010-12-07,318.21,,46.89,53.13,176.77,24.86
2010-12-08,321.01,,46.73,53.28,176.29,25.4
2010-12-09,319.7575,,47.13,53.4,174.85,26.41
2010-12-10,320.56,,47.62,53.89,175.62,26.4
2010-12-13,321.67,,47.48,54.1075,174.25,26.58
2010-12-14,320.29,,48.05,56.76,173.94,26.29
2010-12-15,320.36,,48.12,55.67,175.57,26.4
2010-12-16,321.25,,48.56,56.63,178.04,27.64
2010-12-17,320.61,,48.4,57.42,177.58,28.17
2010-12-20,322.21,,48.27,57.65,183.29,27.81
2010-12-21,324.205,,48.0,57.39,184.75,27.88
2010-12-22,325.16,,47.84,56.95,184.76,28.14
2010-12-23,323.6,,47.81,56.71,182.59,28.13
2010-12-27,324.68,,47.38,56.44,182.14,28.76
2010-12-28,325.47,,47.39,55.96,181.09,28.3
2010-12-29,325.29,,47.42,55.87,183.37,28.63
2010-12-30,323.66,,47.57,55.53,182.75,28.88
2010-12-31,322.56,,47.91,54.9,180.0,28.4125
2011-01-03,329.57,,47.82,55.55,184.22,27.8
2011-01-04,331.29,,48.27,56.75,185.01,28.0
2011-01-05,334.0,,48.27,56.73,187.42,27.99
2011-01-06,333.73,,48.17,56.55,185.86,28.52
2011-01-07,336.12,,48.37,56.9775,185.49,28.275
2011-01-10,342.455,,47.94,56.44,184.68,28.9
2011-01-11,341.64,,47.84,56.19,184.34,29.24
2011-01-12,344.42,,47.58,56.85,184.08,28.17
2011-01-13,345.68,,47.37,56.32,185.53,28.35
2011-01-14,348.48,,46.89,56.5,188.75,29.01
2011-01-18,340.65,,47.2,57.29,191.25,27.75
2011-01-19,338.84,,47.33,56.98,186.87,27.76
2011-01-20,332.68,,47.96,57.31,181.96,27.7
2011-01-21,326.72,,47.92,56.97,177.42,27.77
2011-01-24,337.45,,48.17,57.29,176.85,28.09
2011-01-25,341.4,,47.96,57.16,176.7,28.015
2011-01-26,343.85,,46.75,56.48,175.39,28.25
2011-01-27,343.21,,46.38,56.48,184.45,29.22
2011-01-28,336.1,,45.49,55.29,171.14,28.05
2011-01-31,339.32,,45.16,55.08,169.64,28.71
2011-02-01,345.03,,45.23,55.71,172.11,29.07
2011-02-02,344.32,,45.73,55.63,173.53,28.8
2011-02-03,343.44,,46.0,55.45,173.71,29.41
2011-02-04,346.5,,46.12,55.2,175.93,31.2
2011-02-07,351.88,,45.69,54.88,176.43,30.79
2011-02-08,355.2,,45.61,54.94,183.06,31.91
2011-02-09,358.16,,45.54,54.425,185.3,32.77
2011-02-10,354.54,,45.49,54.27,186.21,32.48
2011-02-11,356.85,,45.56,53.74,189.25,33.29
2011-02-14,359.18,,45.98,53.86,190.42,34.04
2011-02-15,359.9,,46.75,53.84,189.03,33.71
2011-02-16,363.13,,46.26,52.95,186.62,34.38
2011-02-17,358.3,,46.32,52.41,187.76,33.63
2011-02-18,350.56,,46.88,52.24,186.5,33.85
2011-02-22,338.61,,46.97,51.88,180.42,32.6
2011-02-23,342.62,,46.47,51.07,176.68,31.34
2011-02-24,342.88,,47.2,50.95,177.75,33.98
2011-02-25,348.16,,47.64,52.26,177.24,34.36
2011-02-28,353.21,,48.1,51.33,173.29,33.99
2011-03-01,349.31,,47.5,51.91,169.44,32.07
2011-03-02,352.12,,47.68,51.39,172.02,32.46
2011-03-03,359.56,,48.35,52.37,172.79,33.0
2011-03-04,360.0,,48.69,52.32,171.67,32.79
2011-03-07,355.36,,48.5,51.74,169.08,31.98
2011-03-08,355.76,,48.7,52.52,166.89,32.39
2011-03-09,352.47,,49.07,52.48,169.05,31.0
2011-03-10,346.67,,48.5,51.84,166.14,31.0075
2011-03-11,351.99,,48.46,53.53,168.07,31.23
2011-03-14,353.56,,48.22,53.52,166.73,31.0
2011-03-15,345.43,,47.65,53.0,165.08,31.07
2011-03-16,330.01,,46.71,52.69,164.7,29.56
2011-03-17,334.64,,47.26,53.56,160.97,29.32
2011-03-18,330.67,,47.91,52.94,161.82,30.32
2011-03-21,339.3,,48.03,53.09,164.525,30.99
2011-03-22,341.2,,47.96,52.7825,162.6,30.71
2011-03-23,339.19,,47.99,52.69,165.32,31.01
2011-03-24,344.97,,48.11,53.27,171.1,31.07
2011-03-25,351.54,,48.03,53.15,170.98,30.85
2011-03-28,350.44,,48.08,52.65,169.35,30.99
2011-03-29,350.96,,48.38,53.43,174.62,30.97
2011-03-30,348.63,,48.96,53.9,179.42,31.49
2011-03-31,348.5075,,49.05,53.45,180.13,31.1
2011-04-01,344.56,,49.37,53.08,180.13,31.52
2011-04-04,341.19,,50.25,54.03,182.94,30.6
2011-04-05,338.89,,49.99,54.07,185.29,31.67
2011-04-06,338.04,,50.68,54.03,182.76,32.77
2011-04-07,338.08,,50.49,53.97,184.91,32.47
2011-04-08,335.06,,50.49,53.9,184.71,32.57
2011-04-11,330.8,,50.91,54.31,184.04,32.23
2011-04-12,332.4,,51.03,54.62,180.48,31.37
2011-04-13,336.13,,50.45,54.94,182.29,31.8
2011-04-14,332.42,,51.0,54.83,181.82,31.07
2011-04-15,327.46,,51.9,55.51,180.01,31.74
2011-04-18,331.85,,51.28,55.22,178.34,31.6
2011-04-19,337.86,,51.09,55.18,178.82,31.77
2011-04-20,342.41,,50.8,56.18,183.87,32.56
2011-04-21,350.696,,51.8,53.69,185.89,32.6
2011-04-25,353.009,,51.32,54.69,185.42,32.24
2011-04-26,350.42,,51.77,56.22,182.3,32.35
2011-04-27,350.15,,52.18,56.82,196.63,33.39
2011-04-28,346.75,,52.29,57.14,195.07,32.89
2011-04-29,350.13,,52.04,56.85,195.81,33.46
2011-05-02,346.28,,52.59,57.38,201.19,33.15
2011-05-03,348.2,,52.85,57.5,198.45,32.16
2011-05-04,349.57,,52.94,57.68,199.97,32.54
2011-05-05,346.75,,52.57,57.42,197.11,33.24
2011-05-06,346.66,,52.52,57.63,197.6,34.91
2011-05-09,347.6,,52.66,57.69,200.8,35.46
2011-05-10,349.45,,52.84,58.3,203.94,35.81
2011-05-11,347.23,,53.05,58.86,204.38,35.87
2011-05-12,346.57,,53.53,59.66,206.07,35.06
2011-05-13,340.5,,53.49,60.47,202.56,34.89
2011-05-16,333.3,,54.0,59.86,192.51,34.26
2011-05-17,336.14,,53.5,60.89,194.81,34.27
2011-05-18,339.87,,53.82,61.17,197.09,34.63
2011-05-19,340.53,,53.42,61.035,198.805,34.81
2011-05-20,335.22,,53.51,60.86,198.65,34.39
2011-05-23,334.4,,53.25,60.46,196.22,32.03
2011-05-24,332.19,,53.33,59.92,193.27,31.71
2011-05-25,336.78,,52.97,59.84,192.26,34.5
2011-05-26,335.0,,52.14,59.76,195.0,34.71
2011-05-27,337.41,,51.55,59.35,194.13,35.01
2011-05-31,347.83,,52.25,60.54,196.69,33.79
2011-06-01,345.51,,51.92,59.7,192.395,33.77
2011-06-02,346.102,,51.25,59.25,193.65,33.52
2011-06-03,343.44,,51.08,58.69,188.32,33.89
2011-06-06,338.04,,51.02,58.6,185.69,33.33
2011-06-07,332.04,,51.38,58.83,187.55,34.05
2011-06-08,332.24,,51.53,58.95,188.05,33.41
2011-06-09,331.49,,51.53,58.88,189.68,34.23
2011-06-10,325.9,,50.9,57.99,186.53,33.77
2011-06-13,326.6,,51.4,58.39,186.29,33.47
2011-06-14,332.44,,51.29,58.53,189.96,34.22
2011-06-15,326.75,,51.31,57.89,185.98,33.56
2011-06-16,325.16,,51.31,58.34,183.65,33.37
2011-06-17,320.26,,51.68,58.01,186.37,32.5
2011-06-20,315.32,,52.02,58.45,187.72,32.75
2011-06-21,325.3,,52.26,58.17,194.23,34.07
2011-06-22,322.61,,52.08,58.155,191.63,36.0
2011-06-23,331.23,,51.92,57.93,194.16,35.82
2011-06-24,326.35,,51.75,57.04,192.55,35.52
2011-06-27,332.04,,51.9,57.88,201.25,35.45
2011-06-28,335.26,,52.25,58.65,202.35,36.95
2011-06-29,334.04,,52.16,57.78,204.18,37.71
2011-06-30,335.67,,52.62,58.35,204.49,38.0
2011-07-01,343.26,,53.1,58.28,209.49,38.66
2011-07-05,349.43,,53.16,57.92,213.19,38.96
2011-07-06,351.76,,53.28,57.7,214.19,39.08
2011-07-07,357.2,,53.54,57.91,216.74,38.66
2011-07-08,359.71,,53.33,57.64,218.28,37.96
2011-07-11,354.0,,53.18,56.9,212.55,37.39
2011-07-12,353.75,,53.29,56.9,211.23,35.41
2011-07-13,358.02,,52.77,56.61,213.5,35.38
2011-07-14,357.77,,53.16,55.68,210.38,35.18
2011-07-15,364.92,,53.04,55.05,212.87,35.51
2011-07-18,373.8,,52.54,54.66,211.53,35.0
2011-07-19,376.85,,52.89,55.27,218.06,36.2
2011-07-20,386.9,,52.4,54.99,215.55,36.07
2011-07-21,387.29,,52.85,55.485,213.21,36.76
2011-07-22,393.3,,52.95,55.22,216.52,37.07
2011-07-25,398.5,,52.58,54.9,213.49,36.09
2011-07-26,403.41,,52.18,54.7,214.18,36.66
2011-07-27,392.59,,51.83,53.8,222.518,33.63
2011-07-28,391.82,,51.62,53.43,223.9,34.64
2011-07-29,390.48,,51.32,54.7,222.52,33.63
2011-08-01,396.75,,50.47,53.77,221.32,33.2
2011-08-02,388.91,,50.2,53.31,211.7,32.05
2011-08-03,392.57,,50.29,53.32,209.96,32.78
2011-08-04,377.37,,48.77,51.56,201.48,30.9
2011-08-05,373.62,,50.23,52.12,202.7,29.34
2011-08-08,353.21,,48.06,49.88,193.7,27.19
2011-08-09,374.01,,48.56,50.55,205.09,29.63
2011-08-10,363.69,,46.89,48.27,194.13,29.25
2011-08-11,373.7,,49.38,49.64,198.36,30.71
2011-08-12,376.99,,49.63,50.0,202.3,31.04
2011-08-15,383.41,,49.91,51.6,202.95,31.61
2011-08-16,380.48,,50.07,51.27,197.68,30.97
2011-08-17,380.44,,50.15,51.72,195.93,30.7
